danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Label
0.603,0.593,7,-4.685,1,0.109,0.706,0,0.121,0.523,101.956,0
0.465,0.735,6,-3.715,1,0.117,0.0711,0,0.0975,0.409,173.935,1
0.527,0.415,5,-7.184,1,0.131,0.329,0,0.195,0.12,125.357,1
0.395,0.392,1,-8.034,1,0.0925,0.219,0.00173,0.134,0.103,155.856,1
0.715,0.288,1,-13.843,1,0.925,0.785,0,0.688,0.772,115.114,0
0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,1
0.559,0.733,2,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,1
0.442,0.807,6,-4.753,1,0.265,0.0158,0.00000643,0.217,0.446,84.649,1
0.473,0.727,8,-6.843,1,0.356,0.577,0,0.316,0.854,83.212,1
0.459,0.816,11,-4.872,0,0.403,0.423,0,0.169,0.643,80.293,1
0.425,0.587,9,-5.453,1,0.0278,0.0565,0.00000516,0.298,0.194,144.642,1
0.61,0.175,6,-18.089,1,0.034,0.768,0.000473,0.108,0.143,126.463,0
0.56,0.442,5,-7.224,1,0.0243,0.727,0.0000171,0.11,0.212,146.448,1
0.577,0.749,5,-7.125,0,0.0279,0.599,0.0112,0.183,0.261,130.969,1
0.534,0.434,3,-9.423,1,0.0277,0.0932,0.0126,0.142,0.0395,140.632,0
0.393,0.671,2,-4.198,1,0.0317,0.000133,0.686,0.127,0.242,143.949,1
0.654,0.743,1,-7.173,0,0.131,0.102,0,0.21,0.623,103.051,0
0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,0
0.813,0.627,11,-5.018,0,0.0486,0.076,0.000616,0.131,0.801,130.011,0
0.306,0.834,0,-4.644,0,0.0509,0.0434,0.000234,0.363,0.435,86.015,0
0.705,734,1,-4.551,0,0.0775,0.285,0,0.048,0.963,157.992,1
0.408,0.714,0,-6.942,1,0.0666,0.0356,0,0.258,0.76,75.397,1
0.562,0.889,11,-2.849,1,0.0368,0.015,0,0.0637,0.716,148.134,1
0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,0
0.677,0.485,5,-5.795,1,0.0361,0.529,0.0000204,0.0755,0.493,82.001,0
0.682,0.173,1,-8.749,1,0.0314,0.839,0.0000326,0.0983,0.236,112.663,0
0.56,0.595,9,-4.53,1,0.0274,0.199,0.0000647,0.132,0.144,104.011,1
0.315,0.296,5,-13.262,1,0.0317,0.771,0,0.702,0.436,172.638,1
0.427,0.262,7,-8.541,1,0.0276,0.746,0,0.068,0.228,104.085,0
0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,0
0.578,0.817,0,-6542,1,0.0363,0.183,0.00000306,0.285,0.726,141.621,1
0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,1
0.806,0.608,1,-7.008,1,0.0659,0.0113,0,0.635,0.849,95.049,0
0.371,0.259,7,-11.352,1,0.0312,0.443,0.00384,0.0752,0.0467,140.425,1
0.499,0.705,9,-5.596,0,0.0669,0.00399,9.11e-06,0.104,0.36,123.909,1
0.6659999999999999,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.7759999999999999,91.577,1
0.595,0.7170000000000001,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,1
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,1
0.504,0.96,0,-1.464,1,0.183,0.00417,0.569,0.0613,0.774,96.682,1
0.725,0.8029999999999999,2,-4.083,1,0.0337,0.013,3.66e-05,0.0891,0.403,117.391,1
0.4270000000000001,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,1
0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.34600000000000003,0.73,96.184,1
0.56,0.209,7,-13.591,1,0.039,0.0132,0.551,0.342,0.407,140.744,1
0.4370000000000001,0.7170000000000001,0,-4.803,1,0.039,0.0779,0.00274,0.108,0.547,178.085,1
0.378,0.474,4,-8.202,0,0.0271,0.28,0.0013800000000000002,0.117,0.38,102.379,1
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,1
0.28300000000000003,0.982,0,-0.32,1,0.0703,0.000204,0.0756,0.0627,0.438,124.149,1
0.243,0.47,4,-8.193999999999999,0,0.0353,0.309,0.000798,0.121,0.393,204.026,1
0.478,0.911,1,-4.617,1,0.4320000000000001,0.0862,0.0,0.29600000000000004,0.5870000000000001,179.979,1
0.561,0.774,1,-3.144,0,0.447,0.399,1.84e-06,0.189,0.82,77.62100000000002,1
0.763,0.728,7,-4.944,1,0.326,0.00677,1.22e-05,0.0915,0.362,105.923,1
0.527,0.885,5,-0.938,0,0.333,0.238,0.0,0.101,0.8420000000000001,88.964,1
0.659,0.948,1,-1.6669999999999998,0,0.302,0.0178,1.39e-05,0.35700000000000004,0.458,110.348,1
0.654,0.75,8,-7.508999999999999,0,0.105,0.244,0.0178,0.16699999999999998,0.557,92.773,1
0.71,0.555,9,-5.942,0,0.295,0.0601,0.0,0.227,0.303,109.204,1
0.514,0.763,10,-3.58,0,0.052000000000000005,0.161,0.0,0.118,0.474,139.748,1
0.5579999999999999,0.8640000000000001,11,-5.1,1,0.43,0.318,0.0,0.123,0.474,152.804,1
0.731,0.8009999999999999,2,-5.194,1,0.32,0.0363,0.0,0.0844,0.774,86.64299999999999,1
0.7440000000000001,0.8759999999999999,1,-3.285,0,0.273,0.00331,0.0,0.0675,0.8420000000000001,85.44200000000002,1
0.512,0.887,0,-4.245,1,0.345,0.0166,0.0,0.0764,0.649,78.752,1
0.868,0.624,7,-8.84,1,0.321,0.0201,7.01e-06,0.114,0.6459999999999999,93.887,1
0.7440000000000001,0.8759999999999999,1,-3.285,0,0.273,0.00331,0.0,0.0675,0.8420000000000001,85.44200000000002,1
0.51,0.721,2,-6.97,1,0.413,0.00655,1.82e-06,0.0362,0.416,92.163,1
0.758,0.705,9,-5.767,1,0.243,0.22,0.0,0.173,0.855,145.964,1
0.5529999999999999,0.6629999999999999,11,-6.412000000000001,1,0.0837,0.171,1.64e-06,0.595,0.299,139.97899999999998,1
0.726,0.8220000000000001,2,-7.6960000000000015,1,0.2,0.113,0.0304,0.306,0.235,86.561,1
0.748,0.758,3,-5.561,0,0.424,0.421,3.39e-06,0.307,0.5329999999999999,85.73299999999998,1
0.789,0.858,1,-5.5420000000000025,1,0.311,0.127,0.0,0.349,0.775,140.02200000000002,1
0.6859999999999999,0.612,11,-5.59,0,0.174,0.0869,6.65e-05,0.142,0.269,77.821,1
0.679,0.875,6,-2.714,0,0.28800000000000003,0.0129,0.000154,0.345,0.488,87.064,1
0.764,0.785,1,-4.096,1,0.369,0.0151,0.0,0.0493,0.777,95.959,1
0.453,0.941,8,-3.393,0,0.329,0.0461,0.0,0.0961,0.677,173.699,1
0.68,0.909,6,-0.564,0,0.161,0.266,0.0,0.064,0.6659999999999999,78.263,1
0.71,0.718,1,-4.77,0,0.257,0.00934,5.41e-05,0.117,0.42,93.354,1
0.594,0.73,0,-4.638,0,0.159,0.0408,0.000164,0.715,0.378,133.88,1
0.895,0.628,10,-3.79,1,0.0473,0.0412,0.0,0.059,0.34,104.009,1
0.382,0.92,10,-1.149,0,0.259,0.285,0.00125,0.973,0.525,98.907,1
0.7440000000000001,0.865,11,-4.6610000000000005,0,0.35,0.0578,0.0,0.28300000000000003,0.591,162.065,1
0.588,0.865,2,-3.465,1,0.385,0.0654,0.0,0.359,0.503,88.589,1
0.665,0.879,7,-7.0070000000000014,1,0.311,0.6559999999999999,0.0,0.634,0.447,92.015,1
0.693,0.568,1,-10.63,0,0.448,0.334,0.0,0.339,0.841,87.27600000000002,1
0.7979999999999999,0.68,1,-5.9179999999999975,0,0.371,0.0726,2.19e-06,0.0896,0.6990000000000001,88.156,1
0.5489999999999999,0.913,8,-3.49,0,0.146,0.0026,0.0,0.26,0.669,154.957,1
0.509,0.952,2,-4.444,0,0.336,0.14400000000000002,0.0,0.135,0.7,83.068,1
0.721,0.768,0,-4.655,1,0.244,0.0593,0.0,0.227,0.264,90.02799999999998,1
0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.6609999999999999,88.785,1
0.459,0.926,4,-3.415,1,0.155,0.0239,1.93e-05,0.183,0.569,151.534,1
0.575,0.857,4,-3.961,1,0.155,0.0125,0.00229,0.145,0.623,117.413,1
0.62,0.912,1,-4.011,1,0.221,0.0728,7.15e-05,0.249,0.29100000000000004,106.236,1
0.431,0.855,9,-4.205,1,0.15,0.00673,0.00114,0.639,0.397,163.014,1
0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.5720000000000001,166.36700000000005,1
0.53,0.871,7,-6.3610000000000015,1,0.302,0.004070000000000001,0.0207,0.272,0.706,93.046,1
0.47,0.978,7,-5.399,1,0.0727,0.0261,1.09e-05,0.35600000000000004,0.503,117.906,1
0.426,0.929,2,-6.729,1,0.0701,0.00162,0.105,0.0789,0.539,127.059,1
0.6509999999999999,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,1
0.457,0.779,7,-6.323,1,0.257,0.0185,2.04e-06,0.0247,0.7340000000000001,86.573,1
0.315,0.97,7,-5.424,1,0.483,0.0234,2.03e-06,0.122,0.37,149.749,1
0.598,0.939,7,-3.663,1,0.105,0.00114,9.26e-06,0.28800000000000003,0.63,95.884,1
0.298,0.848,2,-5.947,1,0.0727,0.0538,0.00152,0.201,0.194,148.282,1
0.44,0.967,11,-5.83,0,0.237,0.163,3.64e-06,0.121,0.574,96.752,1
0.313,0.915,7,-4.86,1,0.345,0.016,5.11e-05,0.206,0.206,137.849,1
0.21,0.204,11,-16.829,1,0.0424,0.99,0.908,0.098,0.0693,62.149,1
0.17,0.0823,10,-30.107,0,0.0317,0.989,0.911,0.0962,0.34600000000000003,85.98899999999998,1
0.277,0.09,7,-26.188,1,0.0316,0.975,0.949,0.125,0.168,105.031,1
0.38,0.119,11,-21.255,1,0.0389,0.991,0.89,0.0601,0.18,132.005,1
0.305,0.083,6,-20.895,1,0.0331,0.977,0.6970000000000001,0.231,0.0479,80.622,1
0.337,0.0699,5,-23.806,0,0.0322,0.99,0.903,0.106,0.135,72.133,1
0.355,0.0452,1,-24.125,1,0.0329,0.985,0.825,0.153,0.276,84.551,1
0.233,0.113,1,-18.276,1,0.0397,0.992,0.879,0.161,0.0642,64.082,1
0.188,0.0891,0,-25.936,1,0.0326,0.974,0.8959999999999999,0.124,0.16399999999999998,59.94600000000001,1
0.444,0.0431,1,-26.77,1,0.041,0.99,0.889,0.124,0.404,106.062,1
0.272,0.281,10,-16.227999999999998,0,0.0365,0.99,0.867,0.087,0.0775,99.27,1
0.28,0.0463,11,-19.78,1,0.0347,0.989,0.873,0.0743,0.0722,100.131,1
0.301,0.0823,1,-23.282,1,0.0382,0.992,0.852,0.087,0.0548,137.296,1
0.409,0.0224,1,-18.234,1,0.0441,0.993,0.908,0.13,0.0655,126.458,1
0.245,0.0577,5,-24.98,0,0.0328,0.991,0.882,0.0704,0.105,74.00399999999998,1
0.391,0.0781,4,-19.99,1,0.0507,0.996,0.912,0.0946,0.0554,80.911,1
0.264,0.29100000000000004,8,-16.078,1,0.0332,0.991,0.909,0.0985,0.471,86.866,1
0.333,0.0606,3,-23.601,1,0.0337,0.993,0.865,0.0823,0.0959,91.429,1
0.368,0.0349,11,-24.841,1,0.0472,0.995,0.8809999999999999,0.0787,0.04,76.167,1
0.289,0.08800000000000001,11,-22.613000000000003,1,0.0427,0.993,0.928,0.11,0.163,109.662,1
0.256,0.0293,9,-26.254,0,0.0415,0.994,0.946,0.0987,0.0377,80.443,1
0.211,0.183,6,-16.95,0,0.0391,0.996,0.852,0.0948,0.0797,91.95,1
0.359,0.0617,1,-23.484,1,0.0471,0.994,0.935,0.12,0.272,44.777,1
0.165,0.123,10,-27.893,0,0.0341,0.989,0.902,0.09,0.493,83.334,1
0.245,0.0683,4,-25.671,1,0.0446,0.994,0.916,0.0896,0.253,64.84,1
0.246,0.109,3,-23.065,1,0.0429,0.989,0.7909999999999999,0.0689,0.112,78.98,1
0.309,0.0947,4,-20.013,0,0.0369,0.994,0.877,0.066,0.156,98.011,1
0.278,0.13699999999999998,1,-20.132,1,0.0413,0.987,0.909,0.109,0.08800000000000001,63.377,1
0.336,0.0201,11,-23.889,1,0.0595,0.995,0.931,0.0852,0.156,83.541,1
0.341,0.17800000000000002,0,-25.284,1,0.0464,0.986,0.928,0.107,0.195,86.71,1
0.224,0.0159,5,-26.07,1,0.042,0.993,0.906,0.0712,0.124,68.283,1
0.307,0.02,1,-25.747,1,0.0397,0.992,0.935,0.108,0.0579,79.57,1
0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,1
0.359,0.0323,1,-24.408,1,0.0377,0.989,0.91,0.0938,0.0728,107.169,1
0.314,0.0157,1,-36.252,0,0.0356,0.991,0.916,0.134,0.0939,95.89,1
0.243,0.135,1,-21.091,0,0.0344,0.994,0.8740000000000001,0.147,0.3720000000000001,80.16,1
0.227,0.0227,7,-24.489,1,0.0363,0.993,0.905,0.924,0.0825,65.615,1
0.359,0.0136,8,-29.607,1,0.0393,0.995,0.932,0.0918,0.118,142.221,1
0.325,0.0481,1,-29.124,1,0.0352,0.99,0.902,0.6940000000000001,0.413,85.541,1
0.265,0.185,1,-17.996,1,0.0375,0.991,0.89,0.181,0.281,98.321,1
0.295,0.138,4,-17.58,1,0.0374,0.994,0.8759999999999999,0.112,0.101,77.082,1
0.381,0.0281,11,-25.721,1,0.0388,0.995,0.8909999999999999,0.057,0.0532,89.469,1
0.301,0.0823,1,-23.282,1,0.0382,0.992,0.852,0.087,0.0548,137.296,1
0.29,0.124,6,-17.667,1,0.0382,0.993,0.903,0.13,0.113,71.581,1
0.389,0.047,5,-20.711,0,0.0512,0.995,0.903,0.0836,0.0862,77.03,1
0.343,0.187,1,-18.433,1,0.0337,0.974,0.539,0.6729999999999999,0.0457,82.464,1
0.393,0.2,2,-18.478,1,0.0309,0.978,0.8390000000000001,0.189,0.399,95.881,1
0.305,0.0223,4,-29.834,1,0.0391,0.993,0.922,0.104,0.112,125.692,1
0.267,0.0533,10,-31.124,0,0.0326,0.991,0.929,0.098,0.532,71.556,1
0.35100000000000003,0.0129,3,-31.143,1,0.0444,0.992,0.893,0.13,0.0968,129.711,1
0.314,0.128,7,-20.246,1,0.0428,0.8640000000000001,0.0368,0.0745,0.17800000000000002,92.706,1
0.246,0.0706,9,-24.98,1,0.0441,0.748,0.266,0.134,0.0792,105.179,1
0.159,0.0639,5,-25.122,1,0.0463,0.931,0.337,0.11,0.0381,70.539,1
0.253,0.202,2,-18.462,1,0.0362,0.906,0.963,0.403,0.302,93.184,1
0.292,0.189,8,-16.159000000000002,1,0.0333,0.967,0.792,0.0948,0.0813,87.98,1
0.263,0.197,4,-16.207,0,0.0391,0.949,0.893,0.11,0.105,102.069,1
0.304,0.0934,9,-14.985,1,0.0383,0.974,0.87,0.0815,0.211,109.534,1
0.17600000000000002,0.189,11,-19.049,1,0.0358,0.8859999999999999,0.8290000000000001,0.0829,0.16899999999999998,81.97,1
0.395,0.0225,4,-32.611999999999995,0,0.0353,0.913,0.953,0.156,0.217,117.202,1
0.466,0.333,7,-15.473,1,0.0411,0.938,0.926,0.139,0.29100000000000004,80.279,1
0.127,0.11,2,-22.63,1,0.0438,0.975,0.933,0.0992,0.0784,76.021,1
0.173,0.0521,0,-26.906,0,0.0444,0.955,0.156,0.0946,0.0383,105.078,1
0.21600000000000005,0.134,2,-20.053,1,0.055,0.917,0.685,0.192,0.124,80.861,1
0.244,0.124,2,-19.81,1,0.0481,0.962,0.899,0.193,0.222,101.836,1
0.285,0.0718,10,-19.658,1,0.0415,0.963,0.8909999999999999,0.0595,0.116,116.612,1
0.265,0.0666,1,-22.209,0,0.0423,0.942,0.748,0.0769,0.0725,144.025,1
0.0849,0.209,4,-19.25,0,0.0441,0.947,0.853,0.149,0.0411,78.378,1
0.395,0.465,9,-11.441,1,0.0441,0.8059999999999999,0.0351,0.141,0.605,130.344,1
0.36,0.162,7,-19.872,1,0.044,0.906,0.578,0.0859,0.21,81.785,1
0.329,0.4370000000000001,2,-12.598,1,0.0369,0.589,0.0188,0.153,0.8690000000000001,82.304,1
0.363,0.0479,2,-29.101,1,0.0392,0.931,0.939,0.14300000000000002,0.322,126.688,1
0.311,0.0752,1,-25.736,1,0.0385,0.988,0.657,0.151,0.0627,118.773,1
0.227,0.154,10,-17.569000000000006,1,0.0393,0.963,0.8370000000000001,0.105,0.364,94.658,1
0.535,0.392,4,-15.493,1,0.0402,0.813,0.621,0.13699999999999998,0.468,122.224,1
0.156,0.127,7,-18.719,1,0.041,0.968,0.866,0.486,0.0811,79.946,1
0.166,0.00979,4,-34.955,1,0.0341,0.928,0.8370000000000001,0.138,0.0829,181.186,1
0.28300000000000003,0.0605,4,-20.885,1,0.0416,0.973,0.904,0.107,0.17800000000000002,62.12,1
0.26,0.0992,9,-17.512999999999998,1,0.0379,0.962,0.8320000000000001,0.147,0.0954,105.207,1
0.345,0.417,10,-13.574000000000002,0,0.0571,0.878,0.885,0.0943,0.26,94.278,1
0.189,0.349,11,-16.035,1,0.0435,0.889,0.8059999999999999,0.35,0.0722,135.34,1
0.328,0.147,2,-19.081,1,0.0384,0.958,0.8690000000000001,0.109,0.158,124.029,1
0.528,0.282,4,-16.449,0,0.0309,0.947,0.959,0.142,0.393,74.834,1
0.312,0.308,10,-14.787,1,0.0317,0.949,0.947,0.244,0.471,104.317,1
0.163,0.124,1,-18.018,1,0.0397,0.913,0.93,0.157,0.0651,78.263,1
0.189,0.349,11,-16.035,1,0.0435,0.889,0.8059999999999999,0.35,0.0722,135.34,1
0.263,0.114,9,-23.306,1,0.041,0.941,0.911,0.0975,0.156,135.58,1
0.405,0.102,6,-21.528,0,0.0366,0.949,0.994,0.136,0.319,85.05799999999998,1
0.354,0.4270000000000001,10,-13.562,0,0.0565,0.878,0.89,0.0795,0.241,95.821,1
0.117,0.0563,9,-21.805,1,0.0376,0.946,0.862,0.0986,0.0983,89.412,1
0.535,0.34600000000000003,6,-16.291,0,0.0309,0.235,0.488,0.0658,0.653,124.39,1
0.163,0.0891,2,-20.255,1,0.0403,0.936,0.91,0.0689,0.0723,91.533,1
0.254,0.209,4,-16.534000000000002,1,0.0425,0.927,0.731,0.0727,0.154,130.222,1
0.315,0.989,1,-4.507,1,0.184,0.000389,7.41e-06,0.193,0.145,125.315,1
0.28,0.983,7,-4.574,1,0.142,0.000233,5.96e-05,0.305,0.5,153.67700000000005,1
0.451,0.993,1,-4.143,1,0.185,0.000562,0.00479,0.152,0.14,100.827,1
0.298,0.986,1,-4.125,1,0.182,0.0125,1.22e-05,0.0782,0.411,158.636,1
0.229,0.994,6,-3.431,1,0.22,7.03e-05,0.00548,0.318,0.115,156.623,1
0.279,0.993,11,-2.67,0,0.209,0.000278,0.000394,0.197,0.107,88.553,1
0.395,0.988,11,-4.063,0,0.246,0.000128,0.000244,0.134,0.189,107.684,1
0.223,0.989,7,-3.952,1,0.383,0.000122,0.759,0.552,0.051,86.323,1
0.302,0.976,6,-4.591,1,0.147,0.00383,2.3e-06,0.583,0.6809999999999999,168.946,1
0.499,0.97,0,-2.838,1,0.116,0.000683,0.136,0.0871,0.0506,106.558,1
0.263,0.978,11,-6.669,0,0.455,0.00189,0.0403,0.894,0.0769,90.803,1
0.295,0.961,2,-4.605,1,0.0997,2.4e-05,0.67,0.203,0.196,136.882,1
0.32299999999999995,0.982,2,-3.239,1,0.147,0.00269,2.41e-06,0.301,0.321,124.711,1
0.467,0.992,11,-3.218,0,0.175,7.8e-05,0.00175,0.41,0.317,115.209,1
0.327,0.994,11,-4.023,0,0.252,7.55e-05,0.00848,0.434,0.16,111.737,1
0.318,0.991,1,-2.965,1,0.165,0.000156,0.00132,0.128,0.261,97.719,1
0.325,0.986,7,-2.757,1,0.225,0.000655,4.33e-06,0.0224,0.142,135.637,1
0.382,0.996,7,-4.119,1,0.104,0.0020800000000000003,0.0,0.417,0.327,93.345,1
0.331,0.946,7,-4.599,1,0.0775,0.0309,5.62e-06,0.254,0.534,139.965,1
0.293,0.997,4,-4.364,0,0.217,0.000463,3.950000000000001e-05,0.415,0.13,100.348,1
0.334,0.99,1,-3.961,1,0.187,0.000779,0.0,0.0744,0.395,145.162,1
0.28300000000000003,0.978,6,-5.612,1,0.18,0.000105,0.0735,0.252,0.399,166.178,1
0.462,0.996,11,-2.9730000000000003,0,0.231,5.8e-05,0.00377,0.139,0.145,122.072,1
0.49,0.0803,7,-13.22,1,0.0522,0.945,0.0,0.0939,0.376,76.646,1
0.612,0.163,2,-16.183,1,0.0568,0.994,0.0021100000000000003,0.104,0.573,110.326,1
0.518,0.24,0,-11.015,1,0.0426,0.8290000000000001,0.0,0.982,0.19,119.073,1
0.527,0.34700000000000003,7,-13.107,1,0.0413,0.735,0.519,0.214,0.519,112.165,1
0.662,0.244,8,-15.322,1,0.0399,0.872,0.157,0.104,0.5720000000000001,113.461,1
0.615,0.0965,10,-15.977,1,0.0551,0.902,0.0,0.691,0.6409999999999999,139.812,1
0.586,0.18,0,-14.076,1,0.0329,0.888,7.65e-06,0.238,0.6409999999999999,82.161,1
0.633,0.507,5,-10.171,1,0.0325,0.215,0.0,0.209,0.677,104.868,1
0.593,0.395,1,-9.783,1,0.0283,0.748,1.79e-06,0.122,0.639,78.134,1
0.306,0.188,1,-16.088,1,0.0352,0.8220000000000001,5.53e-06,0.0767,0.418,210.752,1
0.9,0.693,11,-3.989,0,0.0751,0.0245,0.00278,0.04,0.8640000000000001,107.021,0
0.7090000000000001,0.565,5,-6.395,0,0.0471,0.00209,0.0125,0.0901,0.5710000000000001,112.203,0
0.818,0.787,6,-5.363,0,0.097,0.062,0.000453,0.0668,0.899,106.997,0
0.7340000000000001,0.856,6,-4.592,0,0.056,0.0642,0.000475,0.0442,0.67,115.027,0
